epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,260.214,0.84226,0.57159,2.00081,0.92805,0.99265,0.99,0.77544,0.83766,0.56785,2.23438,0.00186734,0.00186734,0.00186734
69,263.358,0.83186,0.55206,1.94731,1,0.92123,0.98188,0.74861,0.89753,0.58949,2.81487,0.00186536,0.00186536,0.00186536
70,266.495,0.88258,0.59526,2.06089,0.85148,0.92308,0.96084,0.72113,0.99045,0.67975,2.68291,0.00186338,0.00186338,0.00186338
71,269.647,0.88376,0.57476,1.7854,0.92259,1,0.97357,0.71007,0.8733,0.73219,2.57069,0.0018614,0.0018614,0.0018614
72,272.841,0.79452,0.53621,1.86647,0.89628,1,0.97857,0.74317,0.93752,0.73703,2.79295,0.00185942,0.00185942,0.00185942
73,275.973,0.79543,0.56319,1.90956,0.86128,1,0.9625,0.74505,1.01296,0.70745,3.22492,0.00185744,0.00185744,0.00185744
74,279.061,0.8073,0.57071,1.84819,0.85492,0.90754,0.93548,0.65395,1.08208,0.80301,2.57136,0.00185546,0.00185546,0.00185546
75,282.222,0.80983,0.58009,1.91185,0.97789,0.92308,0.97853,0.687,1.08084,0.71129,2.57503,0.00185348,0.00185348,0.00185348
76,285.627,0.80912,0.56552,1.82771,1,0.91311,0.97556,0.66908,1.11792,0.74758,2.81531,0.0018515,0.0018515,0.0018515
77,288.78,0.82147,0.58475,1.92024,0.94596,0.92308,0.97289,0.65853,1.12356,0.68307,3.15984,0.00184952,0.00184952,0.00184952
78,292.09,0.81956,0.57408,1.91568,0.90145,0.92308,0.96418,0.66866,1.08441,0.70094,3.03648,0.00184754,0.00184754,0.00184754
79,295.854,0.82367,0.5706,1.834,0.89307,0.92308,0.95819,0.75172,0.96311,0.70319,2.60524,0.00184556,0.00184556,0.00184556
80,299.055,0.82894,0.55649,1.9721,0.9548,0.76923,0.93806,0.71437,0.9391,0.79611,2.729,0.00184358,0.00184358,0.00184358
81,302.255,0.76219,0.53321,1.77739,0.97591,0.92308,0.98567,0.71053,0.96987,0.66725,3.47719,0.0018416,0.0018416,0.0018416
82,305.388,0.78322,0.51898,1.93836,0.9781,0.92308,0.98567,0.75443,0.95933,0.59187,3.55665,0.00183962,0.00183962,0.00183962
83,308.75,0.73597,0.50128,1.72257,0.96919,0.84615,0.9694,0.75038,1.00762,0.61833,2.70988,0.00183764,0.00183764,0.00183764
84,312.06,0.75241,0.50742,1.74895,0.96481,0.92308,0.97289,0.76342,0.90556,0.71299,2.34033,0.00183566,0.00183566,0.00183566
85,315.59,0.74688,0.5205,1.75673,0.92136,0.84615,0.9694,0.71573,1.00584,0.65597,2.7382,0.00183368,0.00183368,0.00183368
86,318.752,0.76828,0.52127,1.88126,0.86101,1,0.96797,0.77419,0.93318,0.59294,3.30049,0.0018317,0.0018317,0.0018317
87,321.953,0.7267,0.50545,1.87359,0.89701,0.92308,0.95188,0.74473,0.96815,0.66118,2.97496,0.00182972,0.00182972,0.00182972
88,325.614,0.73435,0.51722,1.78027,0.86598,0.99449,0.96797,0.72159,0.969,0.68238,2.37673,0.00182774,0.00182774,0.00182774
89,328.81,0.72852,0.52787,1.67081,0.86597,0.99434,0.94333,0.74702,0.84963,0.70613,2.12415,0.00182576,0.00182576,0.00182576
90,332.455,0.75302,0.53572,1.71,0.92718,1,0.98429,0.74802,1.02031,0.70406,3.07264,0.00182378,0.00182378,0.00182378
91,335.704,0.80007,0.55168,2.01117,0.92307,0.92295,0.97238,0.73573,1.00706,0.72787,3.44681,0.0018218,0.0018218,0.0018218
92,339.047,0.80479,0.54508,1.99121,0.79712,1,0.9358,0.78852,0.77784,0.64536,2.09142,0.00181982,0.00181982,0.00181982
93,342.55,0.78448,0.53595,1.89128,0.85445,1,0.939,0.79211,0.73799,0.64065,2.11093,0.00181784,0.00181784,0.00181784
94,346.603,0.78734,0.54003,1.8506,0.91649,1,0.99,0.80928,0.72152,0.64137,2.77491,0.00181586,0.00181586,0.00181586
95,350.238,0.7165,0.51769,1.8976,0.93775,1,0.995,0.81611,0.77739,0.60219,2.69584,0.00181388,0.00181388,0.00181388
96,354.848,0.7193,0.50009,1.74049,0.85338,0.8967,0.9671,0.81544,0.78184,0.68388,2.02885,0.0018119,0.0018119,0.0018119
97,357.902,0.79149,0.53418,2.02132,0.91167,0.92308,0.96797,0.70597,0.98511,0.70574,2.19868,0.00180992,0.00180992,0.00180992
98,360.969,0.75729,0.50393,1.95452,1,0.9964,0.995,0.70144,1.14881,0.63164,2.98937,0.00180794,0.00180794,0.00180794
99,364.111,0.72132,0.51165,1.85323,0.9462,0.92308,0.98567,0.72534,1.14827,0.70523,2.94445,0.00180596,0.00180596,0.00180596
100,367.192,0.80009,0.5276,1.82218,0.97488,1,0.995,0.70427,1.0734,0.66831,2.57115,0.00180398,0.00180398,0.00180398
101,370.353,0.76152,0.50918,1.83645,1,0.90304,0.98567,0.71102,0.98179,0.61509,2.31218,0.001802,0.001802,0.001802
102,373.429,0.7165,0.48832,1.74723,1,0.91437,0.98567,0.70078,0.91819,0.6118,2.31672,0.00180002,0.00180002,0.00180002
103,376.478,0.72963,0.50913,1.86756,0.92112,0.89957,0.96957,0.7393,0.83892,0.61841,2.38472,0.00179804,0.00179804,0.00179804
104,379.556,0.75687,0.52199,1.79665,0.86077,1,0.975,0.71815,0.90318,0.64406,2.56759,0.00179606,0.00179606,0.00179606
105,382.619,0.74734,0.50216,1.68914,0.9826,0.84615,0.97045,0.76932,0.83284,0.6773,2.79416,0.00179408,0.00179408,0.00179408
106,385.729,0.76846,0.53642,1.8655,0.84628,1,0.96833,0.77101,0.78827,0.65299,2.88611,0.0017921,0.0017921,0.0017921
107,388.819,0.70289,0.48221,1.6936,0.92143,1,0.99,0.786,0.81912,0.6109,2.74048,0.00179012,0.00179012,0.00179012
108,391.951,0.71614,0.49277,1.78935,0.97685,1,0.995,0.79999,0.77605,0.54036,2.75789,0.00178814,0.00178814,0.00178814
109,395.096,0.73714,0.49482,1.7715,0.99051,1,0.995,0.85433,0.72774,0.48671,2.75614,0.00178616,0.00178616,0.00178616
110,398.295,0.69562,0.49516,1.69397,0.98975,1,0.995,0.83582,0.75795,0.50897,2.67001,0.00178418,0.00178418,0.00178418
111,401.577,0.6742,0.48285,1.68106,0.91904,1,0.99,0.79055,0.84722,0.57913,2.48716,0.0017822,0.0017822,0.0017822
112,404.711,0.70008,0.48761,1.63256,0.92806,1,0.99,0.82015,0.84624,0.58301,2.53683,0.00178022,0.00178022,0.00178022
113,407.853,0.69233,0.47896,1.73498,0.92784,0.98972,0.98429,0.74575,0.87603,0.64138,2.84614,0.00177824,0.00177824,0.00177824
114,410.933,0.69914,0.47242,1.80434,0.87721,0.92308,0.95468,0.7262,0.96467,0.67218,3.0603,0.00177626,0.00177626,0.00177626
115,413.97,0.74474,0.5302,1.76863,0.90581,0.92308,0.93166,0.76893,0.87883,0.72404,2.79271,0.00177428,0.00177428,0.00177428
116,416.991,0.76108,0.51693,1.72605,0.99033,0.92308,0.93375,0.7897,0.775,0.9211,2.64677,0.0017723,0.0017723,0.0017723
117,419.994,0.74017,0.50344,1.69059,0.91634,0.92308,0.9095,0.71362,0.96691,0.8426,3.66661,0.00177032,0.00177032,0.00177032
118,422.95,0.72719,0.50455,1.95808,0.92183,0.90813,0.94412,0.72507,1.0122,0.73566,3.44587,0.00176834,0.00176834,0.00176834
119,425.945,0.7525,0.50291,1.72721,0.98272,0.92308,0.98567,0.75975,0.84849,0.6172,2.44491,0.00176636,0.00176636,0.00176636
