                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.6177,                 1.2958,                 2.1611,                0.77468,                0.69231,                0.83215,                0.39806,                 1.9841,                 1.2414,                 2.5071,              0.0019149,              0.0019149,              0.0019149
                     45,                 1.7524,                 1.3426,                 2.2829,                0.52905,                0.69231,                0.70633,                 0.2677,                 2.1966,                  1.828,                 2.6181,              0.0019129,              0.0019129,              0.0019129
                     46,                 1.8325,                 1.4894,                 2.3305,                 0.7222,                0.76923,                0.83724,                0.45484,                 1.7017,                 1.2939,                 2.2568,              0.0019109,              0.0019109,              0.0019109
                     47,                 1.6583,                 1.3662,                 2.2545,                0.91492,                0.61538,                0.85177,                0.31037,                 2.2257,                 1.3713,                 2.5942,              0.0019089,              0.0019089,              0.0019089
                     48,                 1.6637,                 1.3278,                 2.2143,                0.70259,                0.84615,                0.92022,                0.48175,                 1.5944,                 1.2526,                 2.2637,              0.0019069,              0.0019069,              0.0019069
                     49,                 1.5985,                 1.3796,                 2.1843,                0.67995,                0.81828,                0.79956,                 0.3083,                 1.9169,                 1.5304,                 2.4299,               0.001905,               0.001905,               0.001905
                     50,                 1.5654,                 1.3457,                 2.1384,                0.65284,                0.69231,                 0.7759,                 0.3946,                  1.672,                 1.4638,                 2.2915,               0.001903,               0.001903,               0.001903
                     51,                 1.5545,                 1.2656,                 2.1321,                0.56959,                0.61538,                0.63162,                0.26362,                 1.9736,                 1.8697,                 2.4253,               0.001901,               0.001901,               0.001901
                     52,                 1.5947,                 1.1887,                  2.105,                0.83111,                0.75794,                0.77965,                0.37501,                 1.9817,                 2.2061,                 2.6093,               0.001899,               0.001899,               0.001899
                     53,                 1.5622,                 1.1501,                 2.1289,                0.93833,                0.76923,                0.91755,                0.46719,                 1.8021,                 1.1997,                 2.3229,               0.001897,               0.001897,               0.001897
                     54,                 1.5727,                 1.1696,                 2.1139,                0.92029,                0.88967,                 0.9416,                0.52292,                 1.6364,                 1.4975,                  2.241,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.5258,                 1.1471,                 2.0603,                0.84939,                0.86881,                0.93024,                0.39692,                 2.1218,                 1.8635,                 2.9101,              0.0018931,              0.0018931,              0.0018931
                     56,                  1.456,                 1.1263,                 2.0783,                0.90328,                0.92308,                0.96084,                0.51324,                 1.6191,                 1.2959,                  2.194,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.4712,                 1.1426,                 2.0438,                      1,                0.91623,                0.93782,                0.55273,                 1.6035,                 1.0933,                 2.1998,              0.0018891,              0.0018891,              0.0018891
                     58,                 1.4642,                 1.1299,                 2.0691,                0.78919,                0.86486,                0.90528,                0.56782,                 1.3377,                 1.4658,                 1.9563,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.5662,                 1.1837,                 2.1032,                0.84969,                0.87093,                 0.9419,                0.50564,                 1.6002,                 1.5243,                 2.2156,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.5507,                 1.1978,                 2.0516,                0.51704,                0.53846,                0.48212,                0.13989,                 2.4509,                  2.047,                 3.2822,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.4714,                 1.2435,                 2.0562,                0.60681,                0.76923,                0.78441,                0.40558,                 1.6626,                 1.4754,                 2.1779,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.3992,                 1.1113,                  1.985,                      1,                0.69122,                0.88687,                 0.4906,                 1.5861,                 1.5332,                 2.0985,              0.0018792,              0.0018792,              0.0018792
                     63,                 1.3794,                 1.0753,                 1.9708,                0.84572,                0.84352,                0.92828,                0.48714,                 1.5212,                 1.9527,                 1.9831,              0.0018772,              0.0018772,              0.0018772
                     64,                 1.3208,                  1.064,                 1.9312,                0.86596,                0.84615,                0.94647,                 0.5561,                 1.4985,                 1.0932,                 1.9964,              0.0018753,              0.0018753,              0.0018753
                     65,                 1.3994,                 1.0925,                 1.9687,                0.53858,                0.53846,                0.48173,                0.23309,                 1.9496,                  2.233,                 2.3743,              0.0018733,              0.0018733,              0.0018733
                     66,                 1.4066,                 1.1271,                 1.9748,                0.84058,                0.92308,                0.93981,                0.59561,                 1.3444,                0.98969,                 1.9556,              0.0018713,              0.0018713,              0.0018713
                     67,                 1.2959,                0.96509,                 1.8558,                0.84381,                 0.8321,                0.92335,                0.60599,                 1.4595,                 1.2415,                  2.097,              0.0018693,              0.0018693,              0.0018693
                     68,                 1.4027,                 1.0796,                  1.969,                0.91573,                0.83668,                0.90747,                0.51211,                 1.5245,                 1.3998,                 2.0783,              0.0018673,              0.0018673,              0.0018673
                     69,                 1.3651,                 1.0397,                 1.8895,                0.91882,                0.87205,                0.94279,                0.49999,                 1.6585,                 1.6337,                 2.2849,              0.0018654,              0.0018654,              0.0018654
                     70,                 1.4028,                 1.0628,                 1.9615,                0.99444,                0.76923,                0.91344,                0.51273,                 1.4881,                 1.3178,                  2.142,              0.0018634,              0.0018634,              0.0018634
